iter	Logloss
0	0.5842711831
1	0.5072992776
2	0.4610012478
3	0.4296514709
4	0.4075444546
5	0.3879286416
6	0.3504589824
7	0.3388914462
8	0.3276202831
9	0.3034618874
10	0.2960247028
11	0.2851426858
12	0.280241901
13	0.2767240942
14	0.2700880944
15	0.2573639318
16	0.2549054025
17	0.2515413722
18	0.2477885099
19	0.241158788
20	0.2367241935
21	0.2353369958
22	0.2306115995
23	0.2276431099
24	0.2265806263
25	0.2248536333
26	0.2237907894
27	0.2230106714
28	0.2223700772
29	0.2217471499
30	0.2213039285
31	0.2209749378
32	0.220638296
33	0.219714555
34	0.2193920075
35	0.2191496485
36	0.2188537553
37	0.2185452967
38	0.2158894046
39	0.2156877495
40	0.2146242622
41	0.2144183402
42	0.2130367029
43	0.212832806
44	0.2127101315
45	0.2112594077
46	0.2110632047
47	0.2109534622
48	0.2102919194
49	0.2102032369
50	0.210109594
51	0.2100130387
52	0.2099069562
53	0.2098230937
54	0.2097634084
55	0.2096857177
56	0.209083833
57	0.208831305
58	0.2087789593
59	0.2087247743
60	0.2086263281
61	0.2079426532
62	0.2078737326
63	0.2074676634
64	0.2074118737
65	0.2073526928
66	0.2073176047
67	0.2072706364
68	0.207000856
69	0.2066870778
70	0.2066651413
71	0.2066145646
72	0.206570411
73	0.2064319189
74	0.2060188463
75	0.2059850174
76	0.2055311741
77	0.2054536161
78	0.2053817047
79	0.2053712272
80	0.2049413592
81	0.2049377118
82	0.2048791535
83	0.2048383238
84	0.2047993208
85	0.2044881234
86	0.2044651125
87	0.2043735551
88	0.2043207909
89	0.2042524749
90	0.2039915481
91	0.2039546951
92	0.2039365775
93	0.2038950077
94	0.2038727646
95	0.2038320791
96	0.2038069843
97	0.20377042
98	0.2037372294
99	0.2037252144
100	0.2036517572
101	0.2035615046
102	0.2035172462
103	0.2034619614
104	0.2034383166
105	0.2034228182
106	0.2034067937
107	0.2033761777
108	0.2033533881
109	0.2033295616
110	0.2033031043
111	0.2029766506
112	0.2029585313
113	0.2029182234
114	0.2028859228
115	0.2028697958
116	0.2028373811
117	0.2025982304
118	0.2025751586
119	0.2025194758
120	0.2023462327
121	0.2023219782
122	0.2023078582
123	0.2022901698
124	0.2022694376
125	0.2022565611
126	0.2021252635
127	0.2021088469
128	0.2020869809
129	0.2019728908
130	0.201914859
131	0.2018725705
132	0.2018520282
133	0.2018398583
134	0.2018219999
135	0.2018000875
136	0.2017690718
137	0.2017321765
138	0.2017081262
139	0.2015787716
140	0.2015622328
141	0.2015494803
142	0.2015296493
143	0.2014820707
144	0.201448423
145	0.2012291401
146	0.2010217452
147	0.2007912235
148	0.2007644635
149	0.2007440926
150	0.2007225588
151	0.2007062659
152	0.2006687951
153	0.2006424083
154	0.2006325589
155	0.2005859917
156	0.2005671005
157	0.2004144213
158	0.2003868299
159	0.2003502071
160	0.2003206237
161	0.2002927215
162	0.2002618046
163	0.2002428423
164	0.2002227592
165	0.2001906063
166	0.2000069378
167	0.1999737931
168	0.1999540807
169	0.1998038055
170	0.1997717102
171	0.1997508202
172	0.1997268017
173	0.1995937666
174	0.1995766408
175	0.1995584287
176	0.1995227337
177	0.1994945909
178	0.1994640585
179	0.1994023179
180	0.1993693633
181	0.1993469728
182	0.1992572328
183	0.1992270941
184	0.1991945214
185	0.1991758401
186	0.1991413609
187	0.1991205126
188	0.1990980827
189	0.1990788643
190	0.1990603836
191	0.1990383206
192	0.1990123256
193	0.1989901779
194	0.1989639126
195	0.1989353992
196	0.1989162333
197	0.1988827624
198	0.1988606852
199	0.1988462332
200	0.1988329475
201	0.1987584894
202	0.1987158998
203	0.1986928094
204	0.1986702213
205	0.1986297696
206	0.1986166074
207	0.1985807258
208	0.198550707
209	0.1985278707
210	0.1984990165
211	0.1983827057
212	0.1983685673
213	0.1983435718
214	0.1983184999
215	0.1982896346
216	0.1982523415
217	0.1982343406
218	0.1982132846
219	0.1981939297
220	0.1981835616
221	0.1981656243
222	0.1981415961
223	0.1981255396
224	0.1981064637
225	0.1980872431
226	0.19806792
227	0.1980503117
228	0.1979215856
229	0.197806595
230	0.1977121745
231	0.1976394936
232	0.1975952925
233	0.1975668812
234	0.1975478244
235	0.1975282508
236	0.197503684
237	0.1974684857
238	0.19743435
239	0.1974211469
240	0.1973964843
241	0.1973721002
242	0.1973471973
243	0.1973239914
244	0.1972994872
245	0.1972825781
246	0.1972579579
247	0.1972395539
248	0.1972129715
249	0.1971939173
250	0.1971773507
251	0.1971568881
252	0.1971349623
253	0.1971080481
254	0.1970896775
255	0.1970331943
256	0.1970167979
257	0.1969973899
258	0.1969815679
259	0.196966166
260	0.1969386667
261	0.1969174632
262	0.1968966864
